date,open,high,low,price,difference,difference%,volume,total,y
2018/10/9,243.5,245,242,244,0.5,0.0021,28905,7044905,-16.5
2018/10/8,245.5,246.5,241,243.5,-6.5,-0.026,50939,12390887,0.5
2018/10/5,250,253,248.5,250,-4,-0.0157,40205,10053260,-6.5
2018/10/4,257,257.5,254,254,-6,-0.0231,36409,9282954,-4
2018/10/3,257.5,260,257,260,2.5,0.0097,25229,6527394,-6
2018/10/2,262,263,257,257.5,-5.5,-0.0209,38391,9926505,2.5
2018/10/1,262,264,261,263,0.5,0.0019,22274,5846999,-5.5
2018/9/28,266,266,260,262.5,-2.5,-0.0094,39626,10407468,0.5
2018/9/27,264,266,262,265,1.5,0.0057,38495,10185827,-2.5
2018/9/26,263,263.5,261,263.5,0,0,24859,6524393,1.5
2018/9/25,261.5,264,260.5,263.5,2,0.0076,24397,6400508,0
,,,,,,,,,2
